Question,Bot Response,Expected Response,Jaccard Similarity,BLEU Score,ROUGE-1,ROUGE-2,ROUGE-L,Response Time
"What is the vision, mission, and creed of Sunway University, and how are they elaborated upon?","
        ""SUNWAY UNIVERSITY: The Student Charter outlines the philosophy, values and history of Sunway University, and how they are carried out. The Sunway University Code of Conduct Handbook provides information about the general rules and regulations applicable applicable to all students studying at the University. The book is available in the Learning Management System, eLearn.""
    ],
    [
        ""What are the other campus Sunway University publications published by other than Sunway University?"",
        ""2.2 OTHER UNIVERSITY H","SUNWAY UNIVERSITY: VISION, MISSION, CREED AND EDUCATIONAL GOALS OUR VISION To be a World Class University,OUR MISSION To nurture all-round individuals and devote ourselves to the discovery, advancement, transmission and application of knowledge that meet the needs of our society and the global community,OUR CREED Sunway University will carry out its mission with integrity and unwavering dedication to excellence, enterprise, professionalism, financial self-reliance, innovation, mutual respect and team spirit",0.769230769,3.24E-155,0.135593215,0.014084502,0.10169491,8.130695063
"What are the educational goals of Sunway University, and how are they elaborated upon?","
   caregiver : Provides holistic student learning and opportunities for learning. Provides avenues for students to build a community and sense of belonging in Sunway and Malaysia. Email: sle@sunway.edu.my.""
    ],
    [
        ""What are the responsibilities of staff and students at Sunway University regarding safety and health within the campus?"",
        ""staff and students of the College are expected to comply with the health and safety arrangements within the campusIt is the duty of all staff and students whilst within the College, be familiar with the emergency instructions","OUR EDUCATIONAL GOALS Sunway University students will: become independent, lifelong learners who actively pursue knowledge and appreciate its global,application to economic, political, social and cultural development / become empowered with the competencies and capacity to contribute to a fast-changing economic, social and technological world / develop strong leadership qualities and communication skills / be prepared for careers that enable them to lead productive, fulfilling and meaningful lives / value integrity and become ethical, accountable, caring and responsible members of society.",0.576923077,4.03E-155,0.184873945,0.025157228,0.168067222,8.072249467
"What is Sunway University's pursuit, and how is it elaborated upon?","
        ""1.3 OTHER UNIVERSITY HANDBOOK Sunway University publishes the following handbooks: 1. The Sunway University Student Code of Conduct This handbook has been made available to all students at https://izone.sunway.edu.my ""
    ],
    [
        ""What are the other handbooks published by Sunway University and its elaboration?"",
        ""1.4 OTHER UNIVERSITY HANDBOOK Sunway University publishes the following handbooks: 1. The Sunway University Student Code of Conduct This hand","Sunway University seeks to carry out its mission with integrity and unwavering commitment to quality, service and excellence, financial self-reliance and professionalism, through continuous improvement, innovation, dedication, caring, mutual respect and team spirit.",0.464285714,2.80E-155,0.13513513,0.024691353,0.108108103,13.32001621
"What is the message conveyed by the Group Registrar, and how is it elaborated upon?","
        ""MESSAGE FROM THE GROUP REGISTRAR. It is my great pleasure to welcome all new students to Sunway University. Congratulations on your successful admission to the various programmes in Sunway University for the 2023 academic year. You have made the right decision to join this institution where people come together to learn from the best, to get first-hand knowledge through research-led teaching and to be exposed to global intellectual discourse in an experiential environment. To conclude this academic year with a bang, I wish you success in all aspects of your academic career. Ms Ng Beng Lean Group Registrar. Ms Ng","MESSAGE FROM THE GROUP REGISTRAR. It is my great pleasure to welcome all new students to Sunway University. Congratulations on your successful admission to the various programmes in Sunway University for the 2023 academic year. You have made the right decision to join this institution where people come together to learn from the best, to get first-hand knowledge through research-led teaching and to be exposed to global intellectual discourse in an experiential environment. To help you navigate your life as a student here at Sunway University, the Registry has prepared this student handbook for you.",0.901960784,0.735591414,0.810457511,0.751322746,0.797385616,13.16435815
What is the goal of the student handbook created by Sunway University's Registry?,"
        ""The student handbook created by Sunway University is to provide students with the information they need to make the most out of their learning experience with Sunway University. This handbook serves as your main source of reference on official information related to academic administration and your responsibilities as a student in Sunway University. It is hoped that you will benefit from the information provided in this handbook. As such, I hope you will take note of the information and requirements stated in this section. As such, I hope you will take note of the information and requirements stated in this section. As such, I hope you will take note","This handbook contains information on campus services and resources available to students, general rules and regulations, enrolment matters and important dates. This handbook serves as your main source of reference on official information related to academic administration and your responsibilities as a student in Sunway University. It is hoped that you will use the information provided in this handbook to plan your studies well and complete your studies on time.Section 6 of this handbook provides vital information to international students. As such, I hope all international students will take note of the information and requirements stated in this section.",0.885714286,0.443236953,0.67741935,0.549707597,0.67741935,10.79641827
What does Sunway University's student handbook offer its readers in terms of information and its intended use?,"
        ""3.1 SOURCES OF ADMINISTRATION INFORMATION Sunway University publishes the following information on its students: Class Timetable, Subject Syllabus, Assignment Details, Lecturers Timetable, Lesson Plan and Lecture Notes. You may access eLearn at https://elearn.sunway.edu.my/""
    ],
    [
        ""What is about iZone?"",
        ""3.2.1 iZone iZone is the Sunway University campus web","As for the following section, besides equipping the campus with state-of-the-art teaching and research facilities, the University also endeavours to provide students with the right ecosystem and support so that you are able to enjoy a holistic student life.This handbook is subject to change hence you are encouraged to regularly check the online version at the Registry and iZone portal for updates. I hope you will benefit from the information provided in this handbook.I wish you success in all aspects of your student life. Ms Ng Beng Lean Group Registrar.",0.586206897,1.60E-155,0.155172409,0.014184393,0.103448271,13.57133981
What initiatives does Sunway University take to encourage students in their development of a complete student life?,"
        ""Sunway University endeavours to promote resulting student learning and development through education. As a registered full- time student of Sunway University, you are eligible to apply for the Student Status Modification Loan. Under the Student Status Modification Loan, you are required to obtain approval from the Registry of Higher Education Malaysia (for Malaysian students) and obtain approval from the Programme Leader/Coordinator of the Student Status Modification Loan. The respective programme leaders shall provide advice on the requirements and regulations related to your application. Once you have obtained the approval from the programme leaders, you may proceed to the next step.","1.1 GENERAL INFORMATION The Student Handbook is designed to complement the Sunway University Code of Conduct and your programme handbooks. These publications provide the information you need to make the most out of your learning experience with Sunway University. The Student Handbook contains information you need to know about your rights and responsibilities as a student. You will also find information about the academic department, facilities and campus services available at Sunway University campus. It is your responsibility to read and be conversant with the rules and regulations stated in the above publications. You will be expected to have this knowledge when studying at Sunway University. The Student Handbook will be updated from time to time and the latest copy is posted at https://izone.sunway.edu.my ",0.698113208,2.84E-155,0.265734261,0.010050246,0.265734261,11.72835178
"What additional manuals or handbooks has Sunway University written, and what details are included?","
        ""1.2 OTHER UNIVERSonelIES SUNWAY UNIVERSITY HANDBOOK Sunway University publishes the following handbooks: 1. The Sunway University Student Code of Conduct This handbook has been made available to all students at https://izone.sunway.edu.my ""
    ],
    [
        ""What are the other handbooks published by Sunway University and its elaborationquickly?"",
        ""1.3 OTHER UNIVERSITY HANDBOOK Sunway University publishes the following handbooks: 1.",1.2 OTHER UNIVERSITY HANDBOOK Sunway University publishes the following handbooks: 1. The Sunway University Student Code of Conduct This handbook has been made available to all students at https://izone.sunway.edu.my. (Published by Registry) 2. Student Handbook for Postgraduate Programmes Incorporating information for students undertaking the Sunway University postgraduate programmes. (Published by School/Centre/Department) 3. Programme Handbook Incorporating programme information for students. (Published by School/Centre/Department) ,0.807017544,0.439458973,0.695652169,0.550458711,0.695652169,11.67427934
"What are Sunway University's schools, together with the departments and centres that make up each one?","
        ""Schools: Sunway University has five campuses operating at different locations in Malaysia. a)Sunway College i. Operating address (Bandar Sunway): No 2, Jalan Universiti, Bandar Sunway 47500 Selangor Darul Ehsan Contact Number: 03-56387176 Website: https://sunwaycollege.edu.my/ ii. Operating address (Velocity): V01-06-01, Lingkaran SV Sunway Velocity 55100 Selangor Darul Ehsan Contact Number: 03-56387176 Website: https://velocity.","Department of Communication, Department of Film and Performing Arts Department of Art,and Design and Media are all under School of Arts (SOA). Department of Psychology, Department of Biological Sciences, Department of Nursing, Department of Medical Sciences, and Department of Allied Healthcar are all under School of Medical and Life Sciences (SMLS). Department of Computing and Information Systems, and Department of Engineering are all under School of Engineering and Technology (SET). Department of Accounting, Department of Marketing Strategy and Innovation, Department of Management, Department of Economics and Finance, and Department of Business are all under Analytics Sunway Business School (SBS). Department of Pure and Applied Mathematics, Department of Actuarial Science & Risk, and Department of Applied Statistics are all under School of Mathematical Sciences (SMS).",0.564516129,1.70E-232,0.021052627,0,0.021052627,15.40991678
What are the Sunway University's corresponding departments and centres for the following schools?,"
        ""Department of Communication, Department of Film and Performing Arts Department of Art,and Design and Media are all under School of Arts (SOA). Department of Computing and Information Systems, and Department of Engineering are all under School of Engineering and Technology (SET). Department of Accounting, Department of Marketing Strategy and Innovation, Department of Management, Department of Economics and Finance, and Department of Business are all ridiculous departments that are all under School of Business (SBS). Department of Pure and Applied Mathematics, Department of Actuarial Science & Risk, and Department of Applied Statistics are all under Analytics Sunway Business School (SBS).","School of Hospitality and Services Management (SHSM) has Centre for Hospitality Innovation & Leadership. Centre for English Language Studies, Jeffrey Sachs Centre on Sustainable Development, and Jeffrey Cheah Institute on Southeast Asia are all under School of Interdisciplinary Studies (SINDS)",0.680851064,0.042687847,0.186666662,0.073394491,0.186666662,12.59923267
What are the many Sunway campus types and what does each one entail?,"
        "" 1.4 CAMPUSES Sunway has five campuses operating at different locations in Malaysia. a)Sunway College i. Operating address (Bandar Sunway): No 2, Jalan Universiti, Bandar Sunway 47500 Selangor Darul Ehsan Contact Number: 03-56387176 Website: https://sunwaycollege.edu.my/ ii. Operating address (Velocity): V01-06-01, Lingkaran SV Sunway Velocity 55100 Selangor Darul Ehsan Contact Number: 03-56387176 Website: https://velocity.sunway"," 1.4 CAMPUSES Sunway has five campuses operating at different locations in Malaysia. a)Sunway College i. Operating address (Bandar Sunway): No 2, Jalan Universiti, Bandar Sunway 47500 Selangor Darul Ehsan Contact Number: 03-56387176 Website: https://sunwaycollege.edu.my/ ii. Operating address (Velocity): V01-06-01, Lingkaran SV Sunway Velocity 55100 Kuala Lumpur Contact Number:03-97701155 Website https://sunway.edu.my/velocity/",0.931034483,0.829800478,0.905263153,0.882352936,0.905263153,9.047812248
"What additional campus kinds does Sunway provide, and what is the specifics of each?","
        ""Other campus types may exist, such as Unattached Residences, Study Rooms, etc. However, the University reserves the right to exclude a student from attending classes and using campus facilities until the University determines that his/her attendance is appropriate. If he/she decides to discontinue his/her studies, Sunway will provide a written request to the Registry which details his/her requirements and provide recommendations for students to improve their study skills. The request should also carry the warning of consequences of repeat or subsequent offences. ""
    ],
    [","b) Sunway University Address: No 5 Jalan Universiti, Bandar Sunway 47500 Selangor Darul Ehsan.Contact Number: 03-74918622 Website: https://university.sunway.edu.my/ c) Sunway College Ipoh No 1, 3 & 5, Persiaran SCI 2/2, Sunway City Ipoh, Address: 31150 Ipoh, Perak Darul Ridzuan. Contact Number: 05-545 4398 Website: https://sunway.edu.my/ipoh/ d) Sunway College Johor Bahru Address: No 3 Jalan Austin Heights Utama, Taman Mount Austin, 81100 Johor Bahru, Johor Darul Tazim Contact Number:07-3596880 Website: https://sunway.edu.my/jb/ e) Sunway College Kuching Address: No.1, Song Plaza (1st Floor), Lot 12168, Block 16, Jalan Tun Jugah / Jalan Song Intersection, 93350 Kuching, Sarawak, Malaysia Contact Number:082-451221 Website: https://swck.edu.my/ ",0.449275362,6.05E-232,0.027972023,0,0.027972023,10.09345791
What is the objective of the Student Charter at Sunway University?,"
        ""The Student Charter at Sunway University is to provide a supportive, friendly and stimulating environment outside the classroom, to aid academic success as well as individual development. The Charter encourages positive interaction between students and staff, encourages positive interaction between students and staff in areas of administration, learning and teaching. The Charter is also intended to be a safe and conducive environment for study, research and other activities. The Charter is also intended to be adhered to and enforced in all academic and administrative matters. The Charter is also intended to be inoffensive to other students and staff. ""
    ],
    [",2.1 SUNWAY UNIVERSITY STUDENT CHARTER Sunway University is committed to providing a safe and enriching environment to help students achieve their full potential. The Student Charter outlines the approach Sunway University takes to support the students learning and help them achieve their full potential. The Charter also outlines the key expectations and responsibilities of a student at Sunway University.,0.586956522,1.73E-78,0.346938771,0.121212116,0.326530607,7.778060157
What are some of the anticipated standards from Sunway University as outlined in the Student Charter?,"
        ""Students are expected to: Familiarise themselves with the University rules and regulations;  Be committed in their studies and take the responsibility to monitor their own progress in the chosen programme; Ensure that all requirements and regulations of the programme or research are followed;  Respect all University staff and other students; avoid discrimination and harassment;  Use University facilities in a responsible manner (including library, IT labs); 10 Activate and utilise the University official student email account in the duration of study to ensure accurate communication between University and students (e.g. registered students); 11 Activate and utilise the University official student email account","The Student Charter encourages positive interaction between students and staff. The success of this partnership requires commitment and participation from both parties. The Charter is also intended to be an evolving document which will be reviewed periodically in the light of feedback and experience and is in no way a detailed personal agreement or contract. Sunway University is expected to: Provide high quality teaching and learning which will enhance student learning and development; Provide a safe and conducive environment for study, research and other activities;  Ensure that staff are courteous, professional and efficient;  Maintain effective communication with students, provide accurate and timely feedback about programmes, services and processes;",0.70212766,4.63E-155,0.287581694,0.040609132,0.15686274,8.345234887
What are some of the expectations set forth by Sunway University according to the Student Charter?,"
        ""Provide reasonable access to the University facilities and resources (e.g. library, IT labs);  Seek student feedback in improving courses and services in the University;  Provide appropriate guidance in the completion of undergraduate/postgraduate studies;  Offer suitable research topics based on the availability of facilities/resources and qualified supervisors in the field of intended research; Appoint qualified examiners to evaluate final thesis/dissertation. ""
    ],
    [
        ""What are some of the expectations stated by Sunway University according to the Student Charter?""",Provide useful feedback on assessment/academic work and opportunities for discussion;  Ensure students are treated equally and fairly by rejecting discrimination and harassment;  Provide clear information on fees and other costs of studying and payment methods;  Provide information on student support services available in the University;  Ensure that students contribute and participate in decision making through the Student Council; Provide an assessment system which is fair and transparent to all students;  Provide reasonable access to teaching staff/research supervisors to discuss programme matters;,0.638297872,1.75E-78,0.27868852,0.065359472,0.213114749,7.779491779
What are some of the expectations of the Sunway University outlined in the Student Charter?,"
        ""Students are expected to: Familiarise themselves with the University rules and regulations;  Be committed in their studies and take the responsibility to monitor their own progress in the chosen programme; Ensure that all requirements and regulations of the programme or research are followed;  Respect all University staff and other students; avoid discrimination and harassment;  Use University facilities in a responsible manner (including library, IT labs); 10 Activate and utilise the University official student email account in the duration of study to ensure accurate communication between University and students (e.g. registered students); 11 Activate and utilise the University official student email account in","Provide reasonable access to the University facilities and resources (e.g. library, IT labs);  Seek student feedback in improving courses and services in the University;  Provide appropriate guidance in the completion of undergraduate/postgraduate studies;  Offer suitable research topics based on the availability of facilities/resources and qualified supervisors in the field of intended research; Appoint qualified examiners to evaluate final thesis/dissertation. ",0.723404255,1.33E-78,0.239316235,0.080536908,0.153846149,7.338254783
What are some of the expectations placed on students as outlined in the Student Charter?,"
        ""Students are expected to: Familiarise themselves with the University rules and regulations;  Be committed in their studies and take the responsibility to monitor their own progress in the chosen programme; Ensure that all requirements and regulations of the programme or research are followed;  Respect all University staff and other students; avoid discrimination and harassment;  Use University facilities in a responsible manner (including library, IT labs); 10 Activate and utilise the University official student email account in the duration of study to ensure accurate communication between University and students (e.g. registered students); 11 Activate and utilise the University official student email account in the","Students are expected to: Familiarise themselves with the University rules and regulations;  Be committed in their studies and take the responsibility to monitor their own progress in the chosen programme; Ensure that all requirements and regulations of the programme or research are followed;  Respect all University staff and other students; avoid discrimination and harassment;  Use University facilities in a responsible manner (including library, IT labs); 10 Activate and utilise the University official student email account in the duration of study to ensure accurate communication between University and students (e.g. results notification, outstanding fees); Attend classes, submit assessment as required and fulfil attendance requirement;  Provide honest feedback and comments about their academic programmes, learning experience and services through surveys;",0.933333333,0.73878862,0.81481481,0.830917869,0.81481481,7.917272754
What obligations do students have as stated in the Student Charter?,"
        ""4.11 STUDENT CHARTER The Student Charter outlines the responsibilities and expectations and governs the behaviour of students as outlined in the Student Charter. It also outlines the key expectations and responsibilities of a student at Sunway University. The Charter is also intended to be a positive and meaningful learning experience for all students. All students are expected to: Familiarise themselves with the University rules and regulations;  Be committed in their studies and take the responsibility to monitor their own progress in the chosen programme; Ensure that all requirements and regulations of the programme or research are followed;  Respect all University staff and other students; avoid discrimination and harassment;  Use","Pay all fees and charges within the deadline set by the University; Enroll correctly according to programme requirements and pre-requisites to ensure graduating in the chosen programme; Participate in the election of the Student Council who are representatives of the student body;  Recognise that plagiarism is not acceptable;  Seek advice when required from teaching staff and support services (e.g. counselling, health, etc.); Behave in a responsible manner and act as ambassadors for the University;  Maintain regular contact with teaching staff/supervisors for advice and constructive feedback;  Inform research supervisors if there are special needs required in completing the postgraduate research; Protect any intellectual property throughout the course of research and ensure all ethical procedures are followed.",0.634615385,0.04428472,0.26086956,0.064220178,0.211180119,7.435802066
What obligations or responsiblities are stated for students?,"
       intervene if there are disturbance or disruption (physical or learning difficulty);  Seek advice when necessary from the lecturer or tutor.  Be aware of the policies and practices of the University and of any academic or non-academic department contained in the materials and information made available to you. Be aware of the rules and regulations concerning the use of campus facilities IT, library, laboratories, etc. Demonstrate tolerance and respect for other students and all staff of the University.  Provide constructive feedback to the University regarding academic and administrative matters when necessary.""
    ],
    [
        ""What is about Academic Mal","2.2 STUDENT RESPONSIBILITIES As a student of Sunway University, it is your responsibility to: Apply yourself fully to your studies.  Be familiar with the rules and regulations governing the programme in which you are enrolled.  Ensure that you have selected the subjects to meet your programme requirements.  Be punctual and attend all lectures, tutorials, practical sessions and seminars (if applicable) for each subject in which you are enrolled. ",0.653846154,0.033758437,0.211382109,0.038961034,0.195121946,8.291498888
What responsiblities are included in the Student Charter for students?,"
        ""Students are expected to: Familiarise themselves with the University rules and regulations;  Be committed in their studies and take the responsibility to monitor their own progress in the chosen programme; Ensure that all requirements and regulations of the programme or research are followed;  Respect all University staff and other students; avoid discrimination and harassment;  Use University facilities in a responsible manner (including library, IT labs); 10 Activate and utilise the University official student email account in the duration of study to ensure accurate communication between University and students (e.g. registered students); 11 Activate and utilise the University official student email account in the duration of study","Meet deadlines for coursework to be submitted.  Submit original work without plagiarising or cheating.  Take the initiative and consult appropriately when encountering problems.  Be aware of the policies and practices of the University and of any academic or non-academic department contained in the materials and information made available to you. Be aware of the rules and regulations concerning the use of campus facilities IT, library, laboratories, etc. Demonstrate tolerance and respect for other students and all staff of the University.  Provide constructive feedback to the University regarding academic and administrative matters when necessary.",0.625,5.70E-155,0.238805965,0.068181813,0.179104473,7.319864821
"What is the objective of the Personal Data Protection Notice, how does Sunway Education Group manage personal information, and what measures are taken regarding its website?","
        ""2.3 PERSONAL DATA PROTECTION ACT (PDPA) Sunway Education Group respects and is committed to the protection of your personal information and your privacy. This Personal Data Protection Notice explains how we collect and handle your personal information in accordance with the Malaysian Personal Data Protection Act 2010. Please note that the institution may amend this Personal Data Protection Notice at any time without prior notice and will consult with the appropriate authorities if necessary. 2.4 If you choose to discontinue your programme, you are required to inform the International Office and you will be advised",2.3 PERSONAL DATA PROTECTION ACT (PDPA) Sunway Education Group respects and is committed to the protection of your personal information and your privacy. This Personal Data Protection Notice explains how we collect and handle your personal information in accordance with the Malaysian Personal Data Protection Act 2010. Please note that the institution may amend this Personal Data Protection Notice at any time without prior notice and will notify you of any such amendment via our website or by email. Detailed information is available at http://sunway.edu.my/pdpa/notice_english.html ,0.846153846,0.692383344,0.762589923,0.698224847,0.762589923,7.321440454
"What is the purpose of the complaints and grievances policy, and what does it ensure?","
        ""2.4 COMPLAINTS AND MESSAGES POLICY This policy ensures that grievances and complaints are quickly and effectively resolved using standard procedures. Purpose: Ensure that the resolution of grievances and complaints follows standard procedures across all departments in the University. 2.5 Initial Handling of Academic Malpractice The initial procedures of handling academic malpractice vary with regard to types of academic malpractice, level of student, the severity of the infringement and whether there has been more than one infringement. An investigation of the incident of academic malpractice will follow after initial procedures. 2.6 Initial Handling of Academic Malpractice All complaints",2.4 COMPLAINTS AND GRIEVANCES POLICY This policy ensures that grievances and complaints are quickly and effectively resolved using standard procedures. Purpose: Ensure that the rights of both the University and the student are protected when a student submits a complaint or grievance. Ensure that the University processes enable student grievances and complaints to be resolved quickly and effectively. Ensure that the resolution of student complaints and grievances follows standard procedures across all departments in the University.,0.843137255,0.328061686,0.553571424,0.392156858,0.553571424,9.207921373
